invoiceno,customer_id,transaction_time,country,transaction_amount,total_quantity,unique_products,line_count,is_return,transaction_hour,is_night_transaction,is_unknown_customer,customer_avg_amount,customer_std_amount,customer_transaction_count,previous_transaction_time,minutes_since_previous_transaction,high_amount_flag,high_quantity_flag,rapid_transaction_flag,amount_deviation_flag,risk_score,risk_level,is_suspicious,risk_reason
543370,12359.0,2011-02-07 14:51:00,Cyprus,1838.9099999999999,465,80,80,0,14,0,0,1072.8466666666666,1089.5714728216167,6,2011-01-12 12:43:00,37568.0,0,0,0,0,0,low,0,no major risk indicator
C549955,12359.0,2011-04-13 13:38:00,Cyprus,35.8,4,2,2,1,13,0,0,1072.8466666666666,1089.5714728216167,6,2011-02-07 14:51:00,93527.0,0,0,0,0,0,low,0,no major risk indicator
555477,12359.0,2011-06-03 12:26:00,Cyprus,1109.32,356,47,47,0,12,0,0,1072.8466666666666,1089.5714728216167,6,2011-04-13 13:38:00,73368.0,0,0,0,0,0,low,0,no major risk indicator
571034,12359.0,2011-10-13 12:47:00,Cyprus,2814.3,644,100,102,0,12,0,0,1072.8466666666666,1089.5714728216167,6,2011-06-03 12:26:00,190101.0,0,0,0,0,0,low,0,no major risk indicator
C580165,12359.0,2011-12-02 11:21:00,Cyprus,91.25,6,4,4,1,11,0,0,1072.8466666666666,1089.5714728216167,6,2011-10-13 12:47:00,71914.0,0,0,0,0,0,low,0,no major risk indicator
554132,12360.0,2011-05-23 09:43:00,Austria,1083.58,434,45,45,0,9,0,0,887.3533333333334,306.0543908087798,3,,999999.0,0,0,0,0,0,low,0,no major risk indicator
563749,12360.0,2011-08-19 10:10:00,Austria,534.7,240,30,30,0,10,0,0,887.3533333333334,306.0543908087798,3,2011-05-23 09:43:00,126747.0,0,0,0,0,0,low,0,no major risk indicator
571705,12360.0,2011-10-18 15:22:00,Austria,1043.78,491,54,54,0,15,0,0,887.3533333333334,306.0543908087798,3,2011-08-19 10:10:00,86712.0,0,0,0,0,0,low,0,no major risk indicator
545017,12361.0,2011-02-25 13:51:00,Belgium,189.9,91,10,10,0,13,0,0,189.9,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
544203,12362.0,2011-02-17 10:30:00,Belgium,479.1,229,27,27,0,10,0,0,407.52923076923076,261.9148975163987,13,,999999.0,0,0,0,0,0,low,0,no major risk indicator
C544902,12362.0,2011-02-24 13:05:00,Belgium,4.9,2,2,2,1,13,0,0,407.52923076923076,261.9148975163987,13,2011-02-17 10:30:00,10235.0,0,0,0,0,0,low,0,no major risk indicator
551346,12362.0,2011-04-28 09:12:00,Belgium,495.24,275,29,29,0,9,0,0,407.52923076923076,261.9148975163987,13,2011-02-24 13:05:00,90487.0,0,0,0,0,0,low,0,no major risk indicator
559295,12362.0,2011-07-07 12:32:00,Belgium,303.76,144,19,19,0,12,0,0,407.52923076923076,261.9148975163987,13,2011-04-28 09:12:00,101000.0,0,0,0,0,0,low,0,no major risk indicator
563037,12362.0,2011-08-11 15:02:00,Belgium,469.25,340,30,30,0,15,0,0,407.52923076923076,261.9148975163987,13,2011-07-07 12:32:00,50550.0,0,0,0,0,0,low,0,no major risk indicator
C563752,12362.0,2011-08-19 10:38:00,Belgium,17.9,8,3,3,1,10,0,0,407.52923076923076,261.9148975163987,13,2011-08-11 15:02:00,11256.0,0,0,0,0,0,low,0,no major risk indicator
568651,12362.0,2011-09-28 12:04:00,Belgium,829.99,267,40,40,0,12,0,0,407.52923076923076,261.9148975163987,13,2011-08-19 10:38:00,57686.0,0,0,0,0,0,low,0,no major risk indicator
570667,12362.0,2011-10-11 14:33:00,Belgium,355.8,162,15,15,0,14,0,0,407.52923076923076,261.9148975163987,13,2011-09-28 12:04:00,18869.0,0,0,0,0,0,low,0,no major risk indicator
572887,12362.0,2011-10-26 13:47:00,Belgium,786.95,213,33,33,0,13,0,0,407.52923076923076,261.9148975163987,13,2011-10-11 14:33:00,21554.0,0,0,0,0,0,low,0,no major risk indicator
573173,12362.0,2011-10-28 10:10:00,Belgium,499.15999999999997,168,27,27,0,10,0,0,407.52923076923076,261.9148975163987,13,2011-10-26 13:47:00,2663.0,0,0,0,0,0,low,0,no major risk indicator
574329,12362.0,2011-11-04 09:07:00,Belgium,477.94,210,16,16,0,9,0,0,407.52923076923076,261.9148975163987,13,2011-10-28 10:10:00,10017.0,0,0,0,0,0,low,0,no major risk indicator
C579178,12362.0,2011-11-28 14:55:00,Belgium,48.85,7,3,3,1,14,0,0,407.52923076923076,261.9148975163987,13,2011-11-04 09:07:00,34908.0,0,0,0,0,0,low,0,no major risk indicator
580979,12362.0,2011-12-06 15:40:00,Belgium,529.04,221,30,30,0,15,0,0,407.52923076923076,261.9148975163987,13,2011-11-28 14:55:00,11565.0,0,0,0,0,0,low,0,no major risk indicator
549687,12363.0,2011-04-11 13:29:00,Unspecified,299.1,282,16,16,0,13,0,0,276.0,32.668333290818495,2,,999999.0,0,0,0,0,0,low,0,no major risk indicator
563947,12363.0,2011-08-22 10:18:00,Unspecified,252.9,126,7,7,0,10,0,0,276.0,32.668333290818495,2,2011-04-11 13:29:00,191329.0,0,0,0,0,0,low,0,no major risk indicator
563854,12364.0,2011-08-19 15:24:00,Belgium,623.92,555,34,34,0,15,0,0,328.275,223.8464428278159,4,,999999.0,0,0,0,0,0,low,0,no major risk indicator
567897,12364.0,2011-09-22 16:07:00,Belgium,79.8,181,2,2,0,16,0,0,328.275,223.8464428278159,4,2011-08-19 15:24:00,49003.0,0,0,0,0,0,low,0,no major risk indicator
573401,12364.0,2011-10-30 15:43:00,Belgium,299.06,268,22,22,0,15,0,0,328.275,223.8464428278159,4,2011-09-22 16:07:00,54696.0,0,0,0,0,0,low,0,no major risk indicator
580152,12364.0,2011-12-02 10:22:00,Belgium,310.32,502,27,27,0,10,0,0,328.275,223.8464428278159,4,2011-10-30 15:43:00,47199.0,0,0,0,0,0,low,0,no major risk indicator
544574,12365.0,2011-02-21 13:51:00,Cyprus,320.69,173,21,21,0,13,0,0,320.69,0.0,3,,999999.0,0,0,0,0,0,low,0,no major risk indicator
C544577,12365.0,2011-02-21 14:02:00,Cyprus,320.69,1,1,1,1,14,0,0,320.69,0.0,3,2011-02-21 13:51:00,11.0,0,0,0,0,0,low,0,no major risk indicator
544578,12365.0,2011-02-21 14:04:00,Cyprus,320.69,1,1,1,0,14,0,0,320.69,0.0,3,2011-02-21 14:02:00,2.0,0,0,1,0,25,medium,0,rapid repeat transaction
580716,12367.0,2011-12-05 16:48:00,Denmark,168.9,173,11,11,0,16,0,0,168.9,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
538826,12370.0,2010-12-14 12:58:00,Cyprus,1587.07,916,82,82,0,12,0,0,885.4849999999999,543.5706009035686,4,,999999.0,0,0,0,0,0,low,0,no major risk indicator
539330,12370.0,2010-12-17 09:38:00,Austria,277.2,51,8,8,0,9,0,0,885.4849999999999,543.5706009035686,4,2010-12-14 12:58:00,4120.0,0,0,0,0,0,low,0,no major risk indicator
546236,12370.0,2011-03-10 12:48:00,Cyprus,938.39,1005,48,48,0,12,0,0,885.4849999999999,543.5706009035686,4,2010-12-17 09:38:00,119710.0,0,0,0,0,0,low,0,no major risk indicator
571905,12370.0,2011-10-19 14:51:00,Cyprus,739.28,380,28,28,0,14,0,0,885.4849999999999,543.5706009035686,4,2011-03-10 12:48:00,321243.0,0,0,0,0,0,low,0,no major risk indicator
570521,12371.0,2011-10-11 10:43:00,Switzerland,1527.96,582,62,62,0,10,0,0,943.98,825.8724361546401,2,,999999.0,0,0,0,0,0,low,0,no major risk indicator
572770,12371.0,2011-10-26 10:16:00,Switzerland,360.0,9,1,1,0,10,0,0,943.98,825.8724361546401,2,2011-10-11 10:43:00,21573.0,0,0,0,0,0,low,0,no major risk indicator
544157,12372.0,2011-02-16 12:46:00,Denmark,399.22,224,20,20,0,12,0,0,432.68,72.3466847892839,3,,999999.0,0,0,0,0,0,low,0,no major risk indicator
552731,12372.0,2011-05-11 10:43:00,Denmark,515.7,368,19,19,0,10,0,0,432.68,72.3466847892839,3,2011-02-16 12:46:00,120837.0,0,0,0,0,0,low,0,no major risk indicator
568872,12372.0,2011-09-29 12:12:00,Denmark,383.12,202,13,13,0,12,0,0,432.68,72.3466847892839,3,2011-05-11 10:43:00,203129.0,0,0,0,0,0,low,0,no major risk indicator
542887,12373.0,2011-02-01 13:10:00,Austria,364.6,197,14,14,0,13,0,0,364.6,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
576345,12374.0,2011-11-14 15:37:00,Austria,742.9300000000001,342,33,33,0,15,0,0,742.9300000000001,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
565333,12375.0,2011-09-02 14:23:00,Finland,230.3,87,11,11,0,14,0,0,153.19333333333336,130.8771642928335,3,,999999.0,0,0,0,0,0,low,0,no major risk indicator
579281,12375.0,2011-11-29 10:36:00,Finland,227.20000000000002,91,6,6,0,10,0,0,153.19333333333336,130.8771642928335,3,2011-09-02 14:23:00,126493.0,0,0,0,0,0,low,0,no major risk indicator
C581071,12375.0,2011-12-07 11:27:00,Finland,2.08,1,1,1,1,11,0,0,153.19333333333336,130.8771642928335,3,2011-11-29 10:36:00,11571.0,0,0,0,0,0,low,0,no major risk indicator
539488,12377.0,2010-12-20 09:37:00,Switzerland,1001.52,604,43,43,0,9,0,0,814.06,265.10847440246033,2,,999999.0,0,0,0,0,0,low,0,no major risk indicator
542586,12377.0,2011-01-28 15:45:00,Switzerland,626.6,340,34,34,0,15,0,0,814.06,265.10847440246033,2,2010-12-20 09:37:00,56528.0,0,0,0,0,0,low,0,no major risk indicator
562046,12378.0,2011-08-02 10:34:00,Switzerland,4008.62,2529,219,219,0,10,0,0,4008.62,0.0,1,,999999.0,0,1,0,0,15,low,0,unusually high quantity
557789,12379.0,2011-06-22 16:32:00,Belgium,459.84,211,20,20,0,16,0,0,284.73,247.2052481239021,3,,999999.0,0,0,0,0,0,low,0,no major risk indicator
C559193,12379.0,2011-07-07 10:26:00,Belgium,1.95,1,1,1,1,10,0,0,284.73,247.2052481239021,3,2011-06-22 16:32:00,21234.0,0,0,0,0,0,low,0,no major risk indicator
567196,12379.0,2011-09-19 10:09:00,Belgium,392.40000000000003,196,20,20,0,10,0,0,284.73,247.2052481239021,3,2011-07-07 10:26:00,106543.0,0,0,0,0,0,low,0,no major risk indicator
555739,12380.0,2011-06-07 09:49:00,Belgium,607.5500000000001,293,36,36,0,9,0,0,545.8120000000001,373.21440891262495,5,,999999.0,0,0,0,0,0,low,0,no major risk indicator
567928,12380.0,2011-09-22 17:31:00,Belgium,626.01,290,28,28,0,17,0,0,545.8120000000001,373.21440891262495,5,2011-06-07 09:49:00,154542.0,0,0,0,0,0,low,0,no major risk indicator
571187,12380.0,2011-10-14 11:39:00,Belgium,450.86,229,23,23,0,11,0,0,545.8120000000001,373.21440891262495,5,2011-09-22 17:31:00,31328.0,0,0,0,0,0,low,0,no major risk indicator
C572532,12380.0,2011-10-24 16:03:00,Belgium,4.25,1,1,1,1,16,0,0,545.8120000000001,373.21440891262495,5,2011-10-14 11:39:00,14664.0,0,0,0,0,0,low,0,no major risk indicator
577180,12380.0,2011-11-18 11:27:00,Belgium,1040.39,315,17,17,0,11,0,0,545.8120000000001,373.21440891262495,5,2011-10-24 16:03:00,35724.0,0,0,0,0,0,low,0,no major risk indicator
563100,12381.0,2011-08-12 09:57:00,Norway,1268.74,568,62,62,0,9,0,0,314.4433333333333,493.0401250473095,6,,999999.0,0,0,0,0,0,low,0,no major risk indicator
C565050,12381.0,2011-08-31 17:10:00,Norway,41.35,25,4,4,1,17,0,0,314.4433333333333,493.0401250473095,6,2011-08-12 09:57:00,27793.0,0,0,0,0,0,low,0,no major risk indicator
570681,12381.0,2011-10-11 15:45:00,Norway,6.0,1,1,1,0,15,0,0,314.4433333333333,493.0401250473095,6,2011-08-31 17:10:00,58955.0,0,0,0,0,0,low,0,no major risk indicator
570725,12381.0,2011-10-12 11:30:00,Norway,4.5,1,1,1,0,11,0,0,314.4433333333333,493.0401250473095,6,2011-10-11 15:45:00,1185.0,0,0,0,0,0,low,0,no major risk indicator
574694,12381.0,2011-11-06 13:36:00,Norway,419.06,146,16,16,0,13,0,0,314.4433333333333,493.0401250473095,6,2011-10-12 11:30:00,36126.0,0,0,0,0,0,low,0,no major risk indicator
580638,12381.0,2011-12-05 12:44:00,Norway,147.01,92,7,7,0,12,0,0,314.4433333333333,493.0401250473095,6,2011-11-06 13:36:00,41708.0,0,0,0,0,0,low,0,no major risk indicator
539840,12383.0,2010-12-22 14:28:00,Belgium,600.72,754,37,37,0,14,0,0,310.3016666666667,270.1393838311376,6,,999999.0,0,0,0,0,0,low,0,no major risk indicator
540971,12383.0,2011-01-12 14:10:00,Belgium,651.16,590,31,31,0,14,0,0,310.3016666666667,270.1393838311376,6,2010-12-22 14:28:00,30222.0,0,0,0,0,0,low,0,no major risk indicator
C541586,12383.0,2011-01-19 14:36:00,Belgium,11.25,3,1,1,1,14,0,0,310.3016666666667,270.1393838311376,6,2011-01-12 14:10:00,10106.0,0,0,0,0,0,low,0,no major risk indicator
546434,12383.0,2011-03-14 08:41:00,Belgium,357.07,91,15,15,0,8,0,0,310.3016666666667,270.1393838311376,6,2011-01-19 14:36:00,77405.0,0,0,0,0,0,low,0,no major risk indicator
550284,12383.0,2011-04-15 14:10:00,Belgium,142.16,77,11,11,0,14,0,0,310.3016666666667,270.1393838311376,6,2011-03-14 08:41:00,46409.0,0,0,0,0,0,low,0,no major risk indicator
555928,12383.0,2011-06-08 08:02:00,Belgium,99.45,20,5,5,0,8,0,0,310.3016666666667,270.1393838311376,6,2011-04-15 14:10:00,77392.0,0,0,0,0,0,low,0,no major risk indicator
562882,12384.0,2011-08-10 11:23:00,Switzerland,292.69,62,14,14,0,11,0,0,201.46,157.91974195774256,3,,999999.0,0,0,0,0,0,low,0,no major risk indicator
C567540,12384.0,2011-09-21 10:00:00,Switzerland,19.11,5,3,3,1,10,0,0,201.46,157.91974195774256,3,2011-08-10 11:23:00,60397.0,0,0,0,0,0,low,0,no major risk indicator
575734,12384.0,2011-11-11 08:39:00,Switzerland,292.58,64,13,13,0,8,0,0,201.46,157.91974195774256,3,2011-09-21 10:00:00,73359.0,0,0,0,0,0,low,0,no major risk indicator
537676,12386.0,2010-12-08 09:53:00,Australia,258.9,214,8,8,0,9,0,0,200.95,81.95367593952083,2,,999999.0,0,0,0,0,0,low,0,no major risk indicator
540280,12386.0,2011-01-06 12:37:00,Australia,143.0,140,2,2,0,12,0,0,200.95,81.95367593952083,2,2010-12-08 09:53:00,41924.0,0,0,0,0,0,low,0,no major risk indicator
541271,12388.0,2011-01-17 11:12:00,Australia,431.3,204,19,19,0,11,0,0,463.4433333333333,327.1524836321233,6,,999999.0,0,0,0,0,0,low,0,no major risk indicator
543357,12388.0,2011-02-07 13:59:00,Australia,124.05000000000001,37,6,6,0,13,0,0,463.4433333333333,327.1524836321233,6,2011-01-17 11:12:00,30407.0,0,0,0,0,0,low,0,no major risk indicator
546135,12388.0,2011-03-09 15:47:00,Australia,210.9,90,10,10,0,15,0,0,463.4433333333333,327.1524836321233,6,2011-02-07 13:59:00,43308.0,0,0,0,0,0,low,0,no major risk indicator
560033,12388.0,2011-07-14 13:28:00,Australia,902.09,429,35,35,0,13,0,0,463.4433333333333,327.1524836321233,6,2011-03-09 15:47:00,182741.0,0,0,0,0,0,low,0,no major risk indicator
568145,12388.0,2011-09-25 11:30:00,Australia,825.9200000000001,478,22,22,0,11,0,0,463.4433333333333,327.1524836321233,6,2011-07-14 13:28:00,105002.0,0,0,0,0,0,low,0,no major risk indicator
578459,12388.0,2011-11-24 12:30:00,Australia,286.4,224,8,8,0,12,0,0,463.4433333333333,327.1524836321233,6,2011-09-25 11:30:00,86460.0,0,0,0,0,0,low,0,no major risk indicator
567530,12390.0,2011-09-21 09:33:00,Belgium,549.84,353,32,32,0,9,0,0,549.84,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
577228,12391.0,2011-11-18 12:07:00,Cyprus,439.66,293,92,93,0,12,0,0,439.66,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
540700,12393.0,2011-01-11 09:47:00,Australia,462.5,238,19,19,0,9,0,0,395.65,151.42475579199942,4,,999999.0,0,0,0,0,0,low,0,no major risk indicator
541149,12393.0,2011-01-14 11:36:00,Australia,177.00000000000003,60,3,3,0,11,0,0,395.65,151.42475579199942,4,2011-01-11 09:47:00,4429.0,0,0,0,0,0,low,0,no major risk indicator
549313,12393.0,2011-04-08 09:45:00,Australia,421.6,224,17,17,0,9,0,0,395.65,151.42475579199942,4,2011-01-14 11:36:00,120849.0,0,0,0,0,0,low,0,no major risk indicator
568708,12393.0,2011-09-28 15:41:00,Australia,521.5,294,24,25,0,15,0,0,395.65,151.42475579199942,4,2011-04-08 09:45:00,249476.0,0,0,0,0,0,low,0,no major risk indicator
552188,12394.0,2011-05-06 14:01:00,Belgium,381.08,182,21,21,0,14,0,0,636.24,360.8507325751189,2,,999999.0,0,0,0,0,0,low,0,no major risk indicator
569997,12394.0,2011-10-07 08:08:00,Denmark,891.4,637,6,6,0,8,0,0,636.24,360.8507325751189,2,2011-05-06 14:01:00,221407.0,0,0,0,0,0,low,0,no major risk indicator
537026,12395.0,2010-12-03 16:35:00,Belgium,346.1,528,12,12,0,16,0,0,202.59866666666667,121.08321470711589,15,,999999.0,0,0,0,0,0,low,0,no major risk indicator
539447,12395.0,2010-12-17 16:00:00,Belgium,333.82,225,19,19,0,16,0,0,202.59866666666667,121.08321470711589,15,2010-12-03 16:35:00,20125.0,0,0,0,0,0,low,0,no major risk indicator
C540152,12395.0,2011-01-05 11:21:00,Belgium,2.95,1,1,1,1,11,0,0,202.59866666666667,121.08321470711589,15,2010-12-17 16:00:00,27081.0,0,0,0,0,0,low,0,no major risk indicator
543733,12395.0,2011-02-11 12:16:00,Belgium,231.51,262,14,14,0,12,0,0,202.59866666666667,121.08321470711589,15,2011-01-05 11:21:00,53335.0,0,0,0,0,0,low,0,no major risk indicator
C544419,12395.0,2011-02-18 15:16:00,Belgium,14.850000000000001,3,1,1,1,15,0,0,202.59866666666667,121.08321470711589,15,2011-02-11 12:16:00,10260.0,0,0,0,0,0,low,0,no major risk indicator
547517,12395.0,2011-03-23 14:33:00,Belgium,326.5,321,10,10,0,14,0,0,202.59866666666667,121.08321470711589,15,2011-02-18 15:16:00,47477.0,0,0,0,0,0,low,0,no major risk indicator
551985,12395.0,2011-05-05 14:38:00,Belgium,149.97,72,11,11,0,14,0,0,202.59866666666667,121.08321470711589,15,2011-03-23 14:33:00,61925.0,0,0,0,0,0,low,0,no major risk indicator
552884,12395.0,2011-05-12 10:15:00,Belgium,181.82,83,13,13,0,10,0,0,202.59866666666667,121.08321470711589,15,2011-05-05 14:38:00,9817.0,0,0,0,0,0,low,0,no major risk indicator
558623,12395.0,2011-06-30 16:52:00,Belgium,163.9,103,10,10,0,16,0,0,202.59866666666667,121.08321470711589,15,2011-05-12 10:15:00,70957.0,0,0,0,0,0,low,0,no major risk indicator
563852,12395.0,2011-08-19 15:18:00,Belgium,165.95,35,7,7,0,15,0,0,202.59866666666667,121.08321470711589,15,2011-06-30 16:52:00,71906.0,0,0,0,0,0,low,0,no major risk indicator
569496,12395.0,2011-10-04 13:45:00,Belgium,346.68,118,17,17,0,13,0,0,202.59866666666667,121.08321470711589,15,2011-08-19 15:18:00,66147.0,0,0,0,0,0,low,0,no major risk indicator
575151,12395.0,2011-11-08 16:12:00,Belgium,263.08,129,15,15,0,16,0,0,202.59866666666667,121.08321470711589,15,2011-10-04 13:45:00,50547.0,0,0,0,0,0,low,0,no major risk indicator
575154,12395.0,2011-11-08 16:15:00,Belgium,243.47,117,13,13,0,16,0,0,202.59866666666667,121.08321470711589,15,2011-11-08 16:12:00,3.0,0,0,1,0,25,medium,0,rapid repeat transaction
577551,12395.0,2011-11-20 15:21:00,Belgium,265.83,125,15,15,0,15,0,0,202.59866666666667,121.08321470711589,15,2011-11-08 16:15:00,17226.0,0,0,0,0,0,low,0,no major risk indicator
C578432,12395.0,2011-11-24 12:20:00,Belgium,2.55,1,1,1,1,12,0,0,202.59866666666667,121.08321470711589,15,2011-11-20 15:21:00,5579.0,0,0,0,0,0,low,0,no major risk indicator
